#Offer	Title	City	URL	Price	PricePerM2	Area	#Rooms	Description
11	Gotowiec inwestycyjny 15 minut pieszo od centrum • Gliwicka • 4 pokoje	Katowice	https://www.olx.pl/d/oferta/gotowiec-inwestycyjny-15-minut-pieszo-od-centrum-gliwicka-4-pokoje-CID3-IDKnlDA.html#537712da81	280000.0	5600.0	50.0	4	Opis• Gotowiec Inwestycyjny w doskonałej lokalizacji 15 minut pieszo od Centrum Katowic począwszy od 2017 r. do dnia dzisiejszego.  Mieszkanie usytuowane jest na poddaszu w kamienicy przy ul. Gliwickiej w Katowicach w sąsiedztwie A4 oraz DTŚ z doskonałym dojazdem do centrum (przystanek tramwajowy pod budykiem)  • LOKAL: Mieszkanie usytuowane jest poddaszu. Na powierzchnię 50 mkw ( po podłodze) składają jednoosobowe pokoje, kuchnia z częścią jadalną, łazienka z wc, Do mieszkania przynależy piwnica.  Stan prawny: pełna własność z KW  • REMONT Nieruchomość została wyremontowana w 2017 r. wyposażona oraz umeblowana w niezbędne sprzęty AGD. Ogrzewanie z dwufunkcyjnego pieca gazowego typu Junkers  CENA: 280.000 zł, do negocjacji  Zachęcamy do obejrzenia i składania swoich propozycji cenowych!  Kontakt:  Kinga : 73*****50  Na życzenie klienta udzielamy pomocy w uzyskaniu kredytu hipotecznego.  Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.
12	Rozkładowe mieszkanie z oddzielną kuchnią na Ligocie bezpośrednio	Katowice	https://www.olx.pl/d/oferta/rozkladowe-mieszkanie-z-oddzielna-kuchnia-na-ligocie-bezposrednio-CID3-IDM1l7G.html#537712da81	284000.0	5568.63	51.0	3	OpisOferta prywatna Przedmiotem sprzedaży jest przestronne mieszkanie z oddzielną kuchnią,  - Katowice, Ligota ulica Ligocka 88b - 4 Piętro - W poblżu Lidl, Apteki, oraz inne sklepu ogólnospożywcze - W mieszkaniu jest Gaz - Opłaty Administracyjne około 450 zł - Mieszkanie do remontu  W mieszkaniu znajdziemy trzy  pokoje, oddzielną kuchnię, łazienkę oraz balkon. Budynek, w którym znajduje się mieszkanie jest przed termomodernizacją, klatki schodowe są w bardzo dobrym stanie.  Zapraszam do Kontaktu Kasia !  Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego oraz innych właściwych przepisów prawnych.
13	Mieszkanie w Katowicach na sprzedaż + garaż	Katowice	https://www.olx.pl/d/oferta/mieszkanie-w-katowicach-na-sprzedaz-garaz-CID3-IDLYnem.html#537712da81	300000.0	5357.14	56.0	3	OpisMIESZKANIE W KATOWICACH NA SPRZEDAŻ. Kupujący ma możliwość zakupu GARAŻU w sąsiedztwie, za promocyjną cenę.  Powierzchnia mieszkania: 55,70 m kw. Wysoki parter, 3 pokoje. Do mieszkania przynależy piwnica. W sąsiedztwie Park Załęski, dużo zieleni. Blisko przedszkole, szkoła, sklepy. Świetna komunikacja z aglomeracją. Gorąco polecam i zapraszam do obejrzenia! Kontakt: EWA tel. 79*****43
14	Mieszkanie 3 pokoje, Ligota	Katowice	https://www.olx.pl/d/oferta/mieszkanie-3-pokoje-ligota-CID3-IDKNwnp.html#537712da81	259000.0	5395.83	48.0	3	OpisMieszkanie na sprzedaż w super lokalizacji przy ul. Ligockiej w Katowicach. Do mieszkaniu przynależy piwnica. Więcej informacji pod nr tel. 50*****00
15	Wyposażone 3 pokojowe mieszkanie, Chorzów przy DTŚ, sprzedaż bezpośr.	Chorzów	https://www.olx.pl/d/oferta/wyposazone-3-pokojowe-mieszkanie-chorzow-przy-dts-sprzedaz-bezposr-CID3-IDLNgZO.html#3a3751d264;promoted	238500.0	4500.0	53.0	3	OpisSprzedam wyposażone, 3 pokojowe mieszkanie w Chorzowie, na ulicy Racławickiej. Mieszkanie mieści się na parterze. W skład mieszkania wchodzi salon z aneksem kuchennym z meblami, kuchenką indukcyjną, piekarnikiem, lodówką i ścianą z surowej cegły, sypialnia z meblami, mały pokój, łazienka z WC z pralką oraz przedpokój z dużą szafą. Mieszkanie posiada własne CO gazowe. Niskie opłaty do wspólnoty mieszkaniowej. W oknach rolety zewnętrzne. W kamienicy dostępna wózkownia oraz ogrodzony ogródek dla mieszkańców. Kamienica monitorowana, elewacja odnowiona kilka lat temu. Sprzedaż bezpośrednia, bez dodatkowych kosztów. Świetna lokalizacja, 2 min do DTŚ, dojazd do Katowic ok. 7 min. Zainteresowane osoby zapraszam do kontaktu.   „Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego”
16	Mieszkanie 54,7m2, Racławicka, Chorzów	Chorzów	https://www.olx.pl/d/oferta/mieszkanie-54-7m2-raclawicka-chorzow-CID3-IDLwfIR.html#3a3751d264;promoted	220000.0	4021.94	54.7	3	OpisNa sprzedaż 3 pokojowe mieszkanie w kamiennicy, zlokalizowane w Chorzowie przy ulicy Racławickiej 12.  Mieszkanie w układzie jak na załączony planie. Składa się z:      - dużego salonu z aneksem kuchennym (27,5m2)     - 2 pokoi (7,4 - 8m2)     -  łazienka z wc (3m2)     - przedpokój z wnęką na szafę  Mieszkanie nadaje się do odświeżenia\\remontu, bo generalny remont przeszło ok 10 lat temu.  Informacje dodatkowe:      - ogrzewanie z pieca 2 funkcyjnego gazowego     - na parterze znajduje się wózkownia - pod rowery czy wózek     - z tyłu kamiennicy znajduje się zadbany ogródek, ogrodzony, do wykorzystania przez mieszkańców  Mieszkanie znajduje się w kamiennicy, która przeszła generalny remont w 2010 roku.  Lokalizacja:      - blisko sklepy, apteka, przychodnia     - w pobliżu przedszkola, szkoła podstawowa     - szybki dojazd na DTS oraz A4     - blisko przystanek autobusowy, dworzec pkp  Sprzedaż bezpośrednia, bez prowizji.
17	Sprzedam mieszkanie z balkonem w centrum Chorzowa	Chorzów	https://www.olx.pl/d/oferta/sprzedam-mieszkanie-z-balkonem-w-centrum-chorzowa-CID3-IDJruTz.html#3a3751d264;promoted	196700.0	3500.0	56.2	3	OpisSprzedam mieszkanie 56,2 mkw w kamienicy przy ul. Chrobrego 20. Mieszkanie złożone z  trzech pokoi, kuchni i łazienki - możliwość własnej aranżacji. Mieszkanie z balkonem! Położone na 1 piętrze. Mieszkanie w stanie do remontu. Kamienica po generalnym remoncie: - wymienione instalacje wodne i kanalizacyjne - elewacja oraz dach w trakcie remontu - klatki schodowe po remoncie - wyremontowane klimatyczne podwórko - nowe instalacje elektryczne w kamienicy - monitoring - nowa instalacja teletechniczna (domofon, telewizja, internet)  Do mieszkania przynależy piwnica Czysta księga wieczysta, udział w gruncie  BEZ POŚREDNIKÓW, BEZ PROWIZJI Kamienica należy do jednego właściciela - posiadamy więcej mieszkań i kawalerek w tej nieruchomości.  Za tydzień ściągamy rusztowanie z elewacji  W Kamienicy Mural zdjęcie w ogłoszeniu !! Przyjdź zobacz !!
18	DUŻE Bezczynszowe mieszkanie z potencjałem w kamienicy+ BALKON!	Chorzów	https://www.olx.pl/d/oferta/duze-bezczynszowe-mieszkanie-z-potencjalem-w-kamienicy-balkon-CID3-IDLR936.html#3a3751d264;promoted	205000.0	2759.46	74.29	3	OpisBRAK PROWIZJI!  Na sprzedaż mieszkanie w pięknej kamienicy! Świetna lokalizacja w Chorzowie Starym idealna dla rodziny oraz jako lokata kapitału lub jako hotel pracowniczy gdyż mamy jeszcze jedno mieszkanie obok o pow. 48m2.  Sprzedawany lokal ma 74,29 m2 posiada przynależną komórkę o pow.1,8 m2 składa się z 2 osobnych pokoi, kuchni z salonem, przedpokoju oraz łazienki. Mieści się na 2 piętrze. POSIADA BALKON!  Mieszkanie do kapitalnego remontu lecz zostały wymienione okna na nowe PCV co usprawni remont.  Budynek zadbany, odmalowana klatka schodowa, nowe drzwi wejściowe oraz domofon.  Mieszkanie jest bezczynszowe!- tylko media.  Dużym atutem nieruchomości jest lokalizacja. Blisko do centrum Chorzowa, Siemianowic Śl. oraz Katowic, ale także kilka minut do marketów Lidl, Biedronka, Żabka, ODiDO w budynku.  \"Niniejsza informacja nie jest ofertą handlową w myśl art. 66 KC\"
19	Mieszkanie 54,7m2, Racławicka, Chorzów	Chorzów	https://www.olx.pl/d/oferta/mieszkanie-54-7m2-raclawicka-chorzow-CID3-IDLwfIR.html#3a3751d264;promoted	220000.0	4021.94	54.7	3	OpisNa sprzedaż 3 pokojowe mieszkanie w kamiennicy, zlokalizowane w Chorzowie przy ulicy Racławickiej 12.  Mieszkanie w układzie jak na załączony planie. Składa się z:      - dużego salonu z aneksem kuchennym (27,5m2)     - 2 pokoi (7,4 - 8m2)     -  łazienka z wc (3m2)     - przedpokój z wnęką na szafę  Mieszkanie nadaje się do odświeżenia\\remontu, bo generalny remont przeszło ok 10 lat temu.  Informacje dodatkowe:      - ogrzewanie z pieca 2 funkcyjnego gazowego     - na parterze znajduje się wózkownia - pod rowery czy wózek     - z tyłu kamiennicy znajduje się zadbany ogródek, ogrodzony, do wykorzystania przez mieszkańców  Mieszkanie znajduje się w kamiennicy, która przeszła generalny remont w 2010 roku.  Lokalizacja:      - blisko sklepy, apteka, przychodnia     - w pobliżu przedszkola, szkoła podstawowa     - szybki dojazd na DTS oraz A4     - blisko przystanek autobusowy, dworzec pkp  Sprzedaż bezpośrednia, bez prowizji.
20	DUŻE Bezczynszowe mieszkanie z potencjałem w kamienicy+ BALKON!	Chorzów	https://www.olx.pl/d/oferta/duze-bezczynszowe-mieszkanie-z-potencjalem-w-kamienicy-balkon-CID3-IDLR936.html#3a3751d264;promoted	205000.0	2759.46	74.29	3	OpisBRAK PROWIZJI!  Na sprzedaż mieszkanie w pięknej kamienicy! Świetna lokalizacja w Chorzowie Starym idealna dla rodziny oraz jako lokata kapitału lub jako hotel pracowniczy gdyż mamy jeszcze jedno mieszkanie obok o pow. 48m2.  Sprzedawany lokal ma 74,29 m2 posiada przynależną komórkę o pow.1,8 m2 składa się z 2 osobnych pokoi, kuchni z salonem, przedpokoju oraz łazienki. Mieści się na 2 piętrze. POSIADA BALKON!  Mieszkanie do kapitalnego remontu lecz zostały wymienione okna na nowe PCV co usprawni remont.  Budynek zadbany, odmalowana klatka schodowa, nowe drzwi wejściowe oraz domofon.  Mieszkanie jest bezczynszowe!- tylko media.  Dużym atutem nieruchomości jest lokalizacja. Blisko do centrum Chorzowa, Siemianowic Śl. oraz Katowic, ale także kilka minut do marketów Lidl, Biedronka, Żabka, ODiDO w budynku.  \"Niniejsza informacja nie jest ofertą handlową w myśl art. 66 KC\"
21	Wyposażone 3 pokojowe mieszkanie, Chorzów przy DTŚ, sprzedaż bezpośr.	Chorzów	https://www.olx.pl/d/oferta/wyposazone-3-pokojowe-mieszkanie-chorzow-przy-dts-sprzedaz-bezposr-CID3-IDLNgZO.html#3a3751d264;promoted	238500.0	4500.0	53.0	3	OpisSprzedam wyposażone, 3 pokojowe mieszkanie w Chorzowie, na ulicy Racławickiej. Mieszkanie mieści się na parterze. W skład mieszkania wchodzi salon z aneksem kuchennym z meblami, kuchenką indukcyjną, piekarnikiem, lodówką i ścianą z surowej cegły, sypialnia z meblami, mały pokój, łazienka z WC z pralką oraz przedpokój z dużą szafą. Mieszkanie posiada własne CO gazowe. Niskie opłaty do wspólnoty mieszkaniowej. W oknach rolety zewnętrzne. W kamienicy dostępna wózkownia oraz ogrodzony ogródek dla mieszkańców. Kamienica monitorowana, elewacja odnowiona kilka lat temu. Sprzedaż bezpośrednia, bez dodatkowych kosztów. Świetna lokalizacja, 2 min do DTŚ, dojazd do Katowic ok. 7 min. Zainteresowane osoby zapraszam do kontaktu.   „Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego”
